id,eligible_address,amount,minting_start_date,minting_end_date
1,0x229782E2724cCe902dd4607d8445d0c711F89ab9,1242892722375279,1759276800,1791158400
2,0x9b9D097Dab8817843DD3B5D3e0f734A1643b2E87,495811792034970,1759276800,1791158400
3,0xBa0e7A99B4c6d3352Ef4950e86eD92aE7AbFcAa1,369000000000000,1759276800,1791158400
4,0x50eB9621432625eb7cEa1Cd6bf3f052864DF53c7,204023933417267,1759276800,1791158400
5,0x02a0da8eB827a665DCDf2c11a00AE303BbCB2d03,177507484724218,1759276800,1791158400
6,0x71A0B5d9eCdaa17e15bD364A1b64220ed1D81Cf7,108555976932016,1759276800,1791158400
7,0xB09e54D8f84D70129E53A3816c7E66dd776047ea,87165637983652,1759276800,1791158400
8,0x65dDDC635deea52b88c8baaA31f83B3B990a2F1B,81961495946369,1759276800,1791158400
9,0x85D0139F984c06047B5BE818Bf42C47ae3243c9f,62994728796373,1759276800,1791158400
10,0x5bE10bd8F302103DC5ECae375fb0977D251d5c87,53886396928750,1759276800,1791158400
11,0xBA6C2562deDbcac2192D4749AE1398cd4Ee71233,53355360200364,1759276800,1791158400
12,0xE1B9B91052EdC1526225f8291B05F90fBEc99e29,48847223842676,1759276800,1791158400
13,0xA7bbb79a020E9926be99cd631AA5C8027783a73d,45225017490822,1759276800,1791158400
14,0x2417Cc97AaCf89767E712A0fc43B708bEb860B5b,45221271850458,1759276800,1791158400
15,0x63dCb816234F1c897401a7D402665653b8C0d156,42364896159217,1759276800,1791158400
16,0xa0A4d91C875B41bC83B7324e2F53Ef85Ba291ef4,30491512429558,1759276800,1791158400
17,0xF0066E39486401b3051485395e4198e2a4F20EEA,26713005280275,1759276800,1791158400
18,0x460D632f0220c3BAB87585A3dC468e1d1BCf0e9C,23857401416966,1759276800,1791158400
19,0xca43C70499853af5E61ED9aD6143e2f9169049Bd,21723968265931,1759276800,1791158400
20,0x4f0859046a6E730E68c1621f8f5046Db562aCd37,20138800149730,1759276800,1791158400
21,0x2e3353bB2d515629d1acBD962E7d75689ae1dA27,19942494170789,1759276800,1791158400
22,0x13600B31F79cc95BCa3D9B6E039FE38e60558386,18894313187579,1759276800,1791158400
23,0xD74F517B083a289c8E33b54C74B280c84b5d439c,18017358121458,1759276800,1791158400
24,0xfb999b7e04B26Dd99d4BbC86FdD347E04335866b,17825158257557,1759276800,1791158400
25,0x440d9f8ad49A7bd1E369F1faAA4aaFd1Cb33C77b,15019567074416,1759276800,1791158400
26,0x4E547423308B54eb6680Ff56CD962583E17e8fB7,14032652309426,1759276800,1791158400
27,0x0aE8300635B69A201ad5bb0d4Bc736c559c73200,10961858313851,1759276800,1791158400
28,0x0DC947f0bbE40f2Aa2Fa453D55bA4A796FD95c83,9265509428398,1759276800,1791158400
29,0x226aba1E8e3dF14448C1b9Cc506D2207701963A3,8942990941849,1759276800,1791158400
30,0x45F75699AAf33809f6302e63d0a0FB25dB1F0929,8616619649103,1759276800,1791158400
31,0x6eEce8431e5aA363A97D4c2123911aaA60B59Ead,8607555323539,1759276800,1791158400
32,0x10D8Db6bE4DE3b63fb04A18aC6a8bfF6437D5bBA,8487642497942,1759276800,1791158400
33,0xEEced771C782fa648C2A6902fdf5fa572C49964d,8070767373523,1759276800,1791158400
34,0x01835f96Df7181F2F8ED51A766a599e41e34d9C7,7495009977563,1759276800,1791158400
35,0xBC6aD9543389f31D5716940b2FAAf5c50C763B3B,6989528843613,1759276800,1791158400
36,0xd3Cfb037c8D196aB7763d1605d28c8bE0cE6280C,6908274850604,1759276800,1791158400
37,0x3e84000d0d0Ad97c237f3451315dD492E8338b18,6758659701831,1759276800,1791158400
38,0xB96A45f62d8e17b8208A742B3A170f578B5569Be,6231475163755,1759276800,1791158400
39,0x75f18e84e6683e33aE084321f65BCBd0B88F008b,5989811692957,1759276800,1791158400
40,0x68D4969C1f10bb144262c98E03e35700dF6E96D2,5931397734796,1759276800,1791158400
41,0x6FF7E62B4d1D143aB8dBed4c9Cba19A3401Fa399,5920454861413,1759276800,1791158400
42,0x85d648C10acf490FE5F4Df19FDc2D1B19C55D346,5540613518273,1759276800,1791158400
43,0x398020209A19c9D6adb06d313bBA4ce7700c0A84,5373694214358,1759276800,1791158400
44,0x72fb28688FEe6059b25131Dc1276f1a8EedFC28f,5232349219494,1759276800,1791158400
45,0xbe83F24FE871157e2CB7BDC4Ea986385E4F11402,5166696977616,1759276800,1791158400
46,0x48E41a0C1d52E101Cc036E865874cb90A824C977,5130603487125,1759276800,1791158400
47,0xb315f90401D7F41F7C4FF700709420341F1da213,5013698349351,1759276800,1791158400
48,0x71c3D7b97E5392666AAA7FCD897e49ae54a9492E,4978095379294,1759276800,1791158400
49,0xEa3f27Fb7FC4aC22690767d7d5Aa72BA9315fB2A,4845211205916,1759276800,1791158400
50,0x6dCb0FcFcB18A7E81C218F94b4C8887fdb1993aA,4461172420510,1759276800,1791158400
51,0x36b4e3dAf31049a381519A6b1785d456c0349c1D,4360449938142,1759276800,1791158400
52,0xB5BD6780ae62BE234f0812201994bC81236D7020,4204705530795,1759276800,1791158400
53,0xC3c3e54B04a39Ce5f1991DFb95d174A5fC2Ae281,4203690380994,1759276800,1791158400
54,0xC853Dd94fAc5DeEfc49fBC71412293975eD21782,4098074797318,1759276800,1791158400
55,0xA1feEa244AF9c4ae5f0D175A908E52119c57ac87,4060764379078,1759276800,1791158400
56,0x236Acc578FC9Ba5e292de65884A3226c55784452,4035095583833,1759276800,1791158400
57,0xB36bF8B422265D777C3C63FbED8ab8f11413f82F,3925078667824,1759276800,1791158400
58,0x6F86Da70ED4dF83c7F19b5a45eacD61B168F3285,3809734254579,1759276800,1791158400
59,0x9DEDd6D191e151161226325Db2caC6fFaC6c4D04,3802283954597,1759276800,1791158400
60,0x570AC0319dF32Ce9eb58aD0EF7FF349e7B6dC7f5,3700127146050,1759276800,1791158400
61,0x474258448Ab7840a5bA74509D7457e8232157038,3598109672045,1759276800,1791158400
62,0x5734E52C2DdFA232C0C75b242d58AF06AD192F59,3477009639183,1759276800,1791158400
63,0x5b1C1E1cD446B9D145401Af114349E3457EABc20,3348864762872,1759276800,1791158400
64,0x6E791D2307753eFc1141513C7DA4f06AE7d0423f,3245066411157,1759276800,1791158400
65,0xD58077b50C07AEF5b6963186FaC044f9C6C86f44,3025801677610,1759276800,1791158400
66,0x23d804226fE0956E7E9534F40d4e2B710f360B1e,2983324687101,1759276800,1791158400
67,0x24a1fab5eCbFA61fBd7Ea6304f0B02E158991258,2885109590049,1759276800,1791158400
68,0x0467f851807E233404A829179c4BA53D68D52F46,2773814711163,1759276800,1791158400
69,0xE10970D8738BDda611b2ed34E3A9271771e6170c,2714996504180,1759276800,1791158400
70,0x99aDC46A6302646073312192188905bc22B38A8d,2698648687076,1759276800,1791158400
71,0x0Af2d545B16B1B6cD2C73f40d2425588cC16c366,2541339124061,1759276800,1791158400
72,0x432f1EC52Ae5c6e43D80D4Ab4f28e61e2b313Ae5,2527274531356,1759276800,1791158400
73,0xC9a2Dd5d64e398351E0Ae970aD48EC18aB67d326,2488425202091,1759276800,1791158400
74,0x504472F6B583d58cA7c74A9E611C65Fc654664B0,2360794340790,1759276800,1791158400
75,0xe31F0aF07925c71a3448d47B404F5cf705a7ea2D,2269049050863,1759276800,1791158400
76,0x0a31715D1aF256a3DA87EADBD44176991AA3ee9c,2263817498786,1759276800,1791158400
77,0x5679C7D801312dB1325E9B6ca1a57a3e01876f91,2258900168460,1759276800,1791158400
78,0x12334E1BD9801F8b98A9b1931163fEF4fea5FaB7,2256254594713,1759276800,1791158400
79,0xF3D61d111c80D2450BdFbC8B7F7bE0b35f16999D,2205315890282,1759276800,1791158400
80,0x4C4b5f61B02EEc91C15C46176199787edF78986F,2136555884030,1759276800,1791158400
81,0x32BD69a52516922c2b7b4319f20cACcDd7Fc7298,2129851433662,1759276800,1791158400
82,0x05f6D572d059D82c0522918DD5cE81e39A6225Eb,2049037398659,1759276800,1791158400
83,0xc37ee1eFbe3aC4728e5D1Ad48614a9Fc6215960e,1975690055936,1759276800,1791158400
84,0x76506d7949F7Ae576DEC5eDD46510742B2f60966,1952265460395,1759276800,1791158400
85,0x7E2D7aCE8Aa74aa255bDba3A0Fea3127F8Cc5eEb,1944167664595,1759276800,1791158400
86,0x5887e76eB947dB45898ffdA905A831087A5E096e,1928972003247,1759276800,1791158400
87,0x92E4845B2BE564bCC72DBFb49E8DAdf8dCeDaa54,1872832156485,1759276800,1791158400
88,0x39d6DeC6A040fb3871046bd2299bab4678B26476,1830402643193,1759276800,1791158400
89,0xfebe89A96Eb0c5B20453f34c5F9902644Bf313c2,1819914036741,1759276800,1791158400
90,0xd18312FbC4c9618cb28C7e7e985FCeF3C7Be63AD,1780646284033,1759276800,1791158400
91,0xEC277E2CE7abeE5d5ef82094435DB587aC7632E2,1772080675217,1759276800,1791158400
92,0x8fbECDa043D7E15bf1fEC35dE1F425Fa6f768181,1767742700825,1759276800,1791158400
93,0xBF2c19F331493dA8CFb75ec8a80f4ACD4ca396e2,1742222734733,1759276800,1791158400
94,0x420CFa35Bcd278232EaB96f855E1ffE6ff2B7F57,1645983546193,1759276800,1791158400
95,0xAf97C58402790FB1a36f1A4C140FD3b02901ce5b,1598437682394,1759276800,1791158400
96,0x3D27b7909a84c47Bc20a9CE68E7B2da314CB47a7,1486437298184,1759276800,1791158400
97,0x3e120625766D2D8C4ac4D85542c23Ec18AF2E5bb,1435449051555,1759276800,1791158400
98,0x29200CeddA5262CF38b4Cb378F4976424F91a8F3,1399049951206,1759276800,1791158400
99,0x00a1b616a61227c00923A845700a16e095348b14,1334751157636,1759276800,1791158400
100,0xA8B7AA8763A2B8A508365D53110daC9be17f2291,1328063099567,1759276800,1791158400
101,0xE643FD89188e5439dF8aB5B36b12A88b8f681e9F,1327620507488,1759276800,1791158400
102,0x6CfD72A7f1aFF71d0Ca4855cef9F59B28c7F12e0,1326546811891,1759276800,1791158400
103,0xf8B1906Ed0f3De8380C020204Ff6112A1314FA4F,1289991984699,1759276800,1791158400
104,0x0a441A9B1c84D61D0f6529E64C1DbBeAAd301870,1270091733484,1759276800,1791158400
105,0xC90769b100a110A1CfaACa1070B777f6bBe6CAC9,1268771432330,1759276800,1791158400
106,0xC9Ed6eb27Fc6C9E9b4f88d1DA2f97DAF21793E63,1253855161137,1759276800,1791158400
107,0x07e85c62bb4ebc53710542c6E07bD2afe34646D2,1244761138476,1759276800,1791158400
108,0xf3c4398bE7CDC55776CD84901D91Cc3B037eE4A7,1170492123610,1759276800,1791158400
109,0xcC7A429Dea88CA6C52295a5fCe77C5A4f8A5Ed77,1168907516311,1759276800,1791158400
